YEAR,DOY,SRAD,TMAX,TMIN,PR
05/06/2018,18126,16.33,26.88,19.29,3.61
05/07/2018,18127,15.91,30.54,20.74,1.49
05/08/2018,18128,21.22,34.46,21.63,1.5
05/09/2018,18129,12.63,33.79,18.26,4.16
05/10/2018,18130,7.65,23.84,15.2,1.52
05/11/2018,18131,13.96,27.67,14.44,0.97
05/12/2018,18132,26.41,28.4,14.43,0.05
05/13/2018,18133,20.79,28.48,14.63,0.37
05/14/2018,18134,18.48,32.08,18.71,0.46
05/15/2018,18135,21.73,32.03,20.14,0.02
05/16/2018,18136,19.51,33.91,20.3,0.01
05/17/2018,18137,14.9,35.24,21.95,0.13
05/18/2018,18138,16.45,37.23,23.23,0.87
05/19/2018,18139,22.05,36.98,22.99,2.05
05/20/2018,18140,14.87,37.85,23.94,0.77
05/21/2018,18141,29.57,34.88,21.62,0.09
05/22/2018,18142,14.35,38.68,21.27,0.01
05/23/2018,18143,20.63,38.22,24.62,0
05/24/2018,18144,18.69,35.85,24.92,0
05/25/2018,18145,20.1,37.21,24.31,0.01
05/26/2018,18146,18.13,36.95,23.41,0.03
05/27/2018,18147,21.98,35.74,23.13,0.06
05/28/2018,18148,16.16,36.84,23.43,0.02
05/29/2018,18149,22.34,39,24.15,0.48
05/30/2018,18150,19.97,34.84,24.4,11.52
05/31/2018,18151,17.75,34.71,22.98,1.14
06/01/2018,18152,23.38,32.49,23.24,0.08
06/02/2018,18153,24.03,34.74,22.89,0.59
06/03/2018,18154,14.01,32.34,24.37,7.39
06/04/2018,18155,13.59,29.66,23.1,23.29
06/05/2018,18156,26.8,33.84,22.99,5.56
06/06/2018,18157,27.41,36.98,23.11,0.22
06/07/2018,18158,30.11,38.48,22.37,0
06/08/2018,18159,27.78,40.42,21.66,0
06/09/2018,18160,28.44,41.57,24.96,9.11
06/10/2018,18161,17.99,29.9,22.78,15.15
06/11/2018,18162,6.85,28.48,21.27,6.48
06/12/2018,18163,26.53,33.02,19.42,0.04
06/13/2018,18164,26.97,34.96,20.96,0.02
06/14/2018,18165,29.29,36.9,20.98,0
06/15/2018,18166,25.14,37.44,24.14,0.01
06/16/2018,18167,22.08,38.45,24.04,0.36
06/17/2018,18168,25.11,35.98,24.57,2.08
06/18/2018,18169,27.44,39.29,24.75,0.83
06/19/2018,18170,28.61,38.57,25.66,0
06/20/2018,18171,24.38,39.63,25.63,0.02
06/21/2018,18172,20.75,37.86,25.92,7.08
06/22/2018,18173,18.73,37.24,25.06,4.58
06/23/2018,18174,16.56,39.01,26.04,0.01
06/24/2018,18175,20.57,35.85,24.8,2.96
06/25/2018,18176,25.93,34.67,23.75,1.86
06/26/2018,18177,20.7,36.4,22.88,4.18
06/27/2018,18178,20.29,35.76,24.29,3.75
06/28/2018,18179,26.96,35.89,22.97,0.72
06/29/2018,18180,28.79,36.78,22.1,0.42
06/30/2018,18181,16.16,33.99,22.28,1
07/01/2018,18182,28.06,37.02,22.16,0.03
07/02/2018,18183,25.89,36.61,23.69,0.14
07/03/2018,18184,20.76,34,24.48,1.36
07/04/2018,18185,20.71,33.94,24.71,0.29
07/05/2018,18186,24.65,37.94,24.9,0.06
07/06/2018,18187,24.99,37.69,24.57,0.03
07/07/2018,18188,26.54,37.44,24.96,0
07/08/2018,18189,26.21,36.79,26.32,0.01
07/09/2018,18190,18.56,35.98,26.24,0.02
07/10/2018,18191,27.69,39.49,25.87,0.04
07/11/2018,18192,24.12,36.63,24.75,0.51
07/12/2018,18193,22.61,36.3,25.83,1.65
07/13/2018,18194,26.54,39.38,25.49,0.1
07/14/2018,18195,24.93,39.6,26.4,3.11
07/15/2018,18196,25.38,40.24,26.73,0.88
07/16/2018,18197,26.04,40.55,26.42,0.03
07/17/2018,18198,24.51,39.14,25.62,0
07/18/2018,18199,28.09,40.42,25.26,0
07/19/2018,18200,28.44,38.54,25.6,0
07/20/2018,18201,27.91,40.86,24.44,0.01
07/21/2018,18202,27.9,41.3,24.51,0.02
07/22/2018,18203,25.82,37.62,26.5,0.04
07/23/2018,18204,23.84,36.98,26.9,0.51
07/24/2018,18205,28.21,37.37,23.93,0
07/25/2018,18206,27.68,37.24,19.41,0
07/26/2018,18207,28.44,37.73,21.53,0
07/27/2018,18208,27.2,38.76,22.83,0
07/28/2018,18209,26.21,40.38,26.19,0
07/29/2018,18210,27.7,39.57,25.51,0
07/30/2018,18211,24.88,40.76,26.25,0
07/31/2018,18212,27.61,40.99,25.51,0
08/01/2018,18213,26.54,40.9,26.05,0
08/02/2018,18214,27.33,40.94,26.37,0
08/03/2018,18215,21.57,41.14,27.1,0.21
08/04/2018,18216,24.08,39.47,27.45,0.12
08/05/2018,18217,22.87,41.37,28.02,0.48
08/06/2018,18218,25.45,41.15,27.46,0.17
08/07/2018,18219,26.03,41.27,27.95,0
08/08/2018,18220,22.83,40.68,27.33,0.02
08/09/2018,18221,26.12,41.02,26.99,0.03
08/10/2018,18222,24.69,41.58,25.93,0
08/11/2018,18223,26.16,40.72,26.58,0.01
08/12/2018,18224,25.75,42.35,27.15,0.03
